0
//Index   Group   Type   X      Y      Text
10	1	1	35	110	"Alpha Crust"
10	1	1	51	124	"Alpha Crust"
10	1	1	41	147	"Phantom Knight"
10	1	1	57	163	"Phantom Knight"
10	1	1	51	193	"Great Drakan"
10	1	1	45	214	"Phoenix of Darkness"
10	1	1	28	223	"Phoenix of Darkness"
10	1	1	45	235	"Phoenix of Darkness"
//SPOT Vulcanus
63	1	1	115	85	"Zombie Fighter"
63	1	1	112	62	"Zombie Fighter"
63	1	1	88	61	"Zombie Fighter"
63	1	1	74	88	"Zombie Fighter"
63	1	1	62	72	"Zombie Fighter"
63	1	1	80	43	"Resurrected Gladiator"
63	1	1	97	24	"Resurrected Gladiator"
63	1	1	73	24	"Resurrected Gladiator"
63	1	1	34	41	"Resurrected Gladiator"
63	1	1	30	60	"Resurrected Gladiator"
63	1	1	35	89	"Resurrected Gladiator"
63	1	1	91	180	"Ash Slaughterer"
63	1	1	59	139	"Ash Slaughterer"
63	1	1	35	132	"Ash Slaughterer"
63	1	1	32	176	"Ash Slaughterer"
63	1	1	65	163	"Ash Slaughterer"
63	1	1	38	200	"Ash Slaughterer"
63	1	1	45	227	"Ash Slaughterer"
63	1	1	83	200	"Ash Slaughterer"
63	1	1	176	109	"Blood Assassin"
63	1	1	198	106	"Blood Assassin"
63	1	1	218	115	"Blood Assassin"
63	1	1	238	120	"Blood Assassin"
63	1	1	206	142	"Blood Assassin"
63	1	1	182	171	"Cruel Blood Assassin"
63	1	1	222	178	"Cruel Blood Assassin"
63	1	1	237	208	"Cruel Blood Assassin"
63	1	1	222	228	"Cruel Blood Assassin"
63	1	1	117	226	"Cruel Blood Assassin"
63	1	1	142	209	"Cruel Blood Assassin"
63	1	1	141	76	"Burning Lava Giant"
63	1	1	155	53	"Burning Lava Giant"
63	1	1	179	72	"Burning Lava Giant"
63	1	1	150	17	"Ruthless Lava Giant"
63	1	1	191	15	"Ruthless Lava Giant"
63	1	1	210	27	"Ruthless Lava Giant"
63	1	1	213	48	"Ruthless Lava Giant"
63	1	1	236	58	"Ruthless Lava Giant"
//SPOT Karutan 1
80	1	1	84	122	"Venomous Chain Scorpion"
80	1	1	64	120	"Venomous Chain Scorpion"
80	1	1	91	71	"Bone Scorpion"
80	1	1	38	63	"Orcus"
80	1	1	41	89	"Gollock"
80	1	1	31	141	"Gollock"
80	1	1	51	155	"Gollock"
80	1	1	39	184	"Gollock"
80	1	1	93	166	"Orcus"
80	1	1	103	193	"Orcus"
80	1	1	142	152	"Orcus"
80	1	1	161	177	"Orcus"
80	1	1	182	157	"Orcus"
80	1	1	223	170	"Orcus"
80	1	1	183	114	"Venomous Chain Scorpion"
80	1	1	166	93	"Venomous Chain Scorpion"
80	1	1	150	79	"Venomous Chain Scorpion"
80	1	1	165	52	"Bone Scorpion"
80	1	1	184	74	"Bone Scorpion"
80	1	1	184	94	"Bone Scorpion"
80	1	1	212	88	"Gollock"
80	1	1	228	105	"Gollock"
80	1	1	187	42	"Gollock"
80	1	1	214	36	"Gollock"
//SPOT Karutan 2
81	1	1	167	35	"Crypta"
81	1	1	208	39	"Crypta"
81	1	1	202	64	"Crypos"
81	1	1	179	66	"Crypta"
81	1	1	201	92	"Crypos"
81	1	1	213	126	"Crypos"
81	1	1	138	62	"Condra"
81	1	1	123	84	"Condra"
81	1	1	149	112	"Condra"
81	1	1	127	122	"Narcondra"
81	1	1	99	85	"Narcondra"
81	1	1	111	49	"Narcondra"
81	1	1	76	55	"Narcondra"
81	1	1	67	90	"Narcondra"
81	1	1	56	123	"Narcondra"
//SPOT Raklion
57	1	1	173	218	"Ice Walker"
57	1	1	164	184	"Ice Walker"
57	1	1	146	215	"Giant Mammoth"
57	1	1	100	216	"Giant Mammoth"
57	1	1	98	179	"Giant Mammoth"
57	1	1	118	141	"Ice Giant"
57	1	1	149	141	"Ice Giant"
57	1	1	188	100	"Coolutin"
57	1	1	196	123	"Coolutin"
57	1	1	204	153	"Coolutin"
57	1	1	223	143	"Dark Coolutin"
57	1	1	231	112	"Dark Coolutin"
57	1	1	219	79	"Dark Coolutin"
57	1	1	174	66	"Dark Coolutin"
0	1	1	212	42	"Dark Coolutin"
57	1	1	182	139	"Ice Giant"
57	1	1	139	108	"Dark Mammoth"
57	1	1	134	93	"Dark Mammoth"
57	1	1	73	86	"Dark Mammoth"
57	1	1	67	134	"Iron Knigh"
57	1	1	36	154	"Iron Knigh"
57	1	1	34	123	"Iron Knigh"
57	1	1	30	90	"Iron Knigh"
57	1	1	30	49	"Dark Iron Knight"
57	1	1	67	25	"Dark Iron Knight"
57	1	1	105	36	"Dark Iron Knight"
57	1	1	137	47	"Dark Iron Knight"
57	1	1	139	19	"Dark Iron Knight"
//SPOT Swamp Of Peace
56	1	1	174	218	"Sapi-Unus"
56	1	1	199	228	"Sapi-Unus"
56	1	1	235	233	"Sapi-Unus"
56	1	1	221	216	"Sapi-Duo"
56	1	1	237	193	"Sapi-Duo"
56	1	1	216	178	"Sapi-Duo"
56	1	1	218	137	"Sapi-Tres"
56	1	1	201	110	"Sapi-Tres"
56	1	1	174	140	"Sapi-Tres"
56	1	1	47	203	"Thunder Napin"
56	1	1	38	185	"Thunder Napin"
56	1	1	9	195	"Thunder Napin"
56	1	1	12	234	"Ghost Napin"
56	1	1	65	237	"Ghost Napin"
56	1	1	44	229	"Ghost Napin"
56	1	1	109	231	"Blaze Napin"
56	1	1	100	167	"Blaze Napin"
56	1	1	132	168	"Blaze Napin"
56	1	1	39	48	"Shadow Pawn"
56	1	1	67	15	"Shadow Pawn"
56	1	1	38	21	"Shadow Pawn"
56	1	1	25	10	"Shadow Knight"
56	1	1	12	49	"Shadow Knight"
56	1	1	26	99	"Shadow Knight"
56	1	1	23	126	"Shadow Look"
56	1	1	44	123	"Shadow Look"
56	1	1	59	78	"Shadow Look"
56	1	1	234	12	"Sapi Queen"
56	1	1	155	14	"Ice Napin"
56	1	1	218	83	"Shadow Master"
//SPOT Acheron ALKAMAR
91	1	1	155	144	"Devilfairy"
91	1	1	122	125	"Devilfairy"
91	1	1	56	137	"Devilfairy"
91	1	1	38	113	"Devilfairy"
91	1	1	157	68	"Beast"
91	1	1	175	40	"Beast"
91	1	1	144	12	"Beast"
91	1	1	224	20	"Beast"
91	1	1	48	23	"Knight"
91	1	1	17	23	"Knight"
91	1	1	35	85	"Knight"
91	1	1	82	141	"Devilfairy"
91	1	1	110	81	"Beast"
91	1	1	36	59	"Knight"
91	1	1	78	82	"Knight"


//SPOT Acheron 
95	1	1	80	95	"Devilfairy"
95	1	1	65	74	"Devilfairy"
95	1	1	35	58	"Devilfairy"
95	1	1	35	24	"Devilfairy"
95	1	1	60	14	"Devilfairy"
95	1	1	117	12	"Beast"
95	1	1	92	59	"Beast"
95	1	1	135	100	"Beast"
95	1	1	172	101	"Beast"
95	1	1	145	26	"Beast"
95	1	1	204	12	"Knight"
95	1	1	224	15	"Knight"
95	1	1	237	45	"Knight"
95	1	1	239	84	"Knight"
95	1	1	186	96	"Knight"

//SPOT Acheron Uruk
112	1	1	235	106	"Knight"
112	1	1	212	62	"Archer"
112	1	1	241	53	"Fighter"
112	1	1	241	39	"Knight"
112	1	1	216	41	"Archer"
112	1	1	228	18	"Fighter"
112	1	1	216	11	"Knight"
112	1	1	196	31	"Archer"
112	1	1	171	12	"Fighter"
112	1	1	156	15	"Knight"
112	1	1	143	19	"Archer"
112	1	1	117	18	"Fighter"
112	1	1	98	43	"Knight"
112	1	1	83	14	"Archer"
112	1	1	59	54	"Fighter"
112	1	1	47	58	"Knight"
112	1	1	37	15	"Archer"
112	1	1	48	34	"Fighter"
112	1	1	23	53	"Knight"
112	1	1	69	70	"Archer"
112	1	1	88	90	"Fighter"
112	1	1	125	72	"Knight"
112	1	1	156	71	"Archer"
112	1	1	184	73	"Fighter"
112	1	1	117	105	"Knight"
112	1	1	165	135	"Archer"
112	1	1	196	102	"Fighter"
112	1	1	206	113	"Knight"
112	1	1	165	155	"Archer"
112	1	1	155	170	"Fighter"
112	1	1	234	198	"Knight"
112	1	1	235	216	"Archer"
112	1	1	202	209	"Fighter"
112	1	1	204	224	"Knight"
112	1	1	143	210	"Archer"
112	1	1	124	217	"Fighter"
112	1	1	109	232	"Knight"
112	1	1	61	239	"Archer"
112	1	1	14	236	"Fighter"
112	1	1	36	217	"Knight"
112	1	1	31	183	"Archer"
112	1	1	17	203	"Fighter"
112	1	1	20	162	"Knight"
112	1	1	61	170	"Archer"
112	1	1	79	191	"Fighter"
112	1	1	136	169	"Knight"
112	1	1	118	142	"Archer"
112	1	1	99	169	"Fighter"
112	1	1	82	162	"Knight"
//SPOT Nixes Lake
113	1	1	79	81	"Paraca"
113	1	1	95	64	"Bass"
113	1	1	86	45	"Vasuki"
113	1	1	62	72	"Paraca"
113	1	1	20	64	"Bass"
113	1	1	19	86	"Vasuki"
113	1	1	45	51	"Paraca"
113	1	1	17	45	"Bass"
113	1	1	15	24	"Vasuki"
113	1	1	34	12	"Paraca"
113	1	1	54	12	"Bass"
113	1	1	79	13	"Vasuki"
113	1	1	115	69	"Paraca"
113	1	1	117	53	"Bass"
113	1	1	105	44	"Vasuki"
113	1	1	95	19	"Paraca"
113	1	1	120	14	"Bass"
113	1	1	142	13	"Vasuki"
113	1	1	153	26	"Paraca"
113	1	1	148	45	"Bass"
113	1	1	167	28	"Vasuki"
113	1	1	177	14	"Paraca"
113	1	1	197	17	"Bass"
113	1	1	188	41	"Vasuki"
113	1	1	181	56	"Paraca"
113	1	1	207	63	"Bass"
113	1	1	207	33	"Vasuki"
113	1	1	228	13	"Paraca"
113	1	1	241	26	"Bass"
113	1	1	240	52	"Vasuki"
113	1	1	218	53	"Paraca"
113	1	1	241	69	"Bass"
113	1	1	200	103	"Vasuki"
113	1	1	215	108	"Paraca"
113	1	1	236	109	"Bass"
113	1	1	239	88	"Vasuki"
113	1	1	151	133	"Paraca"
113	1	1	183	117	"Bass"
113	1	1	202	119	"Vasuki"
113	1	1	161	155	"Paraca"
113	1	1	184	164	"Bass"
113	1	1	176	186	"Vasuki"
113	1	1	178	218	"Paraca"
113	1	1	235	218	"Bass"
113	1	1	238	182	"Vasuki"
113	1	1	235	161	"Paraca"
113	1	1	233	130	"Bass"
113	1	1	87	160	"Vasuki"
113	1	1	98	173	"Paraca"
113	1	1	136	155	"Bass"
113	1	1	151	178	"Vasuki"
113	1	1	160	208	"Paraca"
113	1	1	143	226	"Bass"
113	1	1	114	214	"Vasuki"
113	1	1	123	198	"Paraca"
113	1	1	116	177	"Bass"
113	1	1	80	236	"Vasuki"
113	1	1	53	182	"Paraca"
113	1	1	38	162	"Bass"
//SPOTS Old Kethotum
135	1	1	70	63	"Lycan"
135	1	1	60	17	"Harpy"
135	1	1	98	8	"Minos"
135	1	1	79	33	"Lycan"
135	1	1	38	11	"Harpy"
135	1	1	12	68	"Minos"
135	1	1	42	60	"Lycan"
135	1	1	83	131	"Harpy"
135	1	1	66	129	"Minos"
135	1	1	34	166	"Lycan"
135	1	1	16	133	"Harpy"
135	1	1	12	102	"Minos"
135	1	1	46	110	"Lycan"
135	1	1	127	170	"Harpy"
135	1	1	93	194	"Minos"
135	1	1	55	240	"Lycan"
135	1	1	18	211	"Harpy"
135	1	1	60	205	"Minos"
135	1	1	148	213	"Lycan"
135	1	1	121	209	"Harpy"
135	1	1	219	190	"Minos"
135	1	1	232	143	"Lycan"
135	1	1	224	111	"Harpy"
135	1	1	197	105	"Minos"
135	1	1	141	132	"Lycan"
135	1	1	115	129	"Harpy"
135	1	1	108	94	"Minos"
135	1	1	148	95	"Lycan"
135	1	1	164	15	"Harpy"
135	1	1	189	17	"Minos"
135	1	1	238	15	"Lycan"
135	1	1	218	41	"Harpy"
135	1	1	231	63	"Minos"
135	1	1	165	59	"Lycan"
135	1	1	188	72	"Harpy"










end

1
//Num	Index   Class     Type   X      Y      Text
0	45        658       6	   169    84     "Cursed Stone Statue"
1	45        659       6	   136    100    "Occupation stone statue"
2	45        660       6	   150    117    "Occupation stone statue"
3	45        661       6	   149    88     "Occupation stone statue"
4	45        662       6	   165    101    "Occupation stone statue"
5	45        663       6	   173    65     "Occupation stone statue"
6	45        664       6	   186    79     "Occupation stone statue"
7	45        665       6	   186    51     "Occupation stone statue"
8	45        666       6	   202    66     "Occupation stone statue"
9	45        667       6	   134    121    "Occupation stone statue"
10	45        668       6 	   207    47     "Occupation stone statue"
0	46        658       6	   169    84     "Cursed Stone Statue"
1	46        659       6	   136    100    "Occupation stone statue"
2	46        660       6	   150    117    "Occupation stone statue"
3	46        661       6	   149    88     "Occupation stone statue"
4	46        662       6	   165    101    "Occupation stone statue"
5	46        663       6	   173    65     "Occupation stone statue"
6	46        664       6	   186    79     "Occupation stone statue"
7	46        665       6	   186    51     "Occupation stone statue"
8	46        666       6	   202    66     "Occupation stone statue"
9	46        667       6	   134    121    "Occupation stone statue"
10	46        668       6 	   207    47     "Occupation stone statue"
0	47        658       6	   169    84     "Cursed Stone Statue"
1	47        659       6	   136    100    "Occupation stone statue"
2	47        660       6	   150    117    "Occupation stone statue"
3	47        661       6	   149    88     "Occupation stone statue"
4	47        662       6	   165    101    "Occupation stone statue"
5	47        663       6	   173    65     "Occupation stone statue"
6	47        664       6	   186    79     "Occupation stone statue"
7	47        665       6	   186    51     "Occupation stone statue"
8	47        666       6	   202    66     "Occupation stone statue"
9	47        667       6	   134    121    "Occupation stone statue"
10	47        668       6 	   207    47     "Occupation stone statue"
0	48        658       6	   169    84     "Cursed Stone Statue"
1	48        659       6	   136    100    "Occupation stone statue"
2	48        660       6	   150    117    "Occupation stone statue"
3	48        661       6	   149    88     "Occupation stone statue"
4	48        662       6	   165    101    "Occupation stone statue"
5	48        663       6	   173    65     "Occupation stone statue"
6	48        664       6	   186    79     "Occupation stone statue"
7	48        665       6	   186    51     "Occupation stone statue"
8	48        666       6	   202    66     "Occupation stone statue"
9	48        667       6	   134    121    "Occupation stone statue"
10	48        668       6 	   207    47     "Occupation stone statue"
0	49        658       6	   169    84     "Cursed Stone Statue"
1	49        659       6	   136    100    "Occupation stone statue"
2	49        660       6	   150    117    "Occupation stone statue"
3	49        661       6	   149    88     "Occupation stone statue"
4	49        662       6	   165    101    "Occupation stone statue"
5	49        663       6	   173    65     "Occupation stone statue"
6	49        664       6	   186    79     "Occupation stone statue"
7	49        665       6	   186    51     "Occupation stone statue"
8	49        666       6	   202    66     "Occupation stone statue"
9	49        667       6	   134    121    "Occupation stone statue"
10	49        668       6 	   207    47     "Occupation stone statue"
0	50        658       6	   169    84     "Cursed Stone Statue"
1	50        659       6	   136    100    "Occupation stone statue"
2	50        660       6	   150    117    "Occupation stone statue"
3	50        661       6	   149    88     "Occupation stone statue"
4	50        662       6	   165    101    "Occupation stone statue"
5	50        663       6	   173    65     "Occupation stone statue"
6	50        664       6	   186    79     "Occupation stone statue"
7	50        665       6	   186    51     "Occupation stone statue"
8	50        666       6	   202    66     "Occupation stone statue"
9	50        667       6	   134    121    "Occupation stone statue"
10	50        668       6 	   207    47     "Occupation stone statue"
end
